Species	Reliance	Resources	Sensitivity	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R30	R31	R32	R33	R34	R35	R36	R37
31	2	23	46	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0
32	1	17	17	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0
33	2	20	40	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	0
34	1	18	18	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0
35	1	23	23	0	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0
36	1	20	20	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1
37	1	20	20	0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0
38	1	22	22	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	0	1	1
39	2	27	54	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	1
40	1	18	18	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1
41	1	17	17	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1
42	2	25	50	0	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1
43	3	21	63	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	1	0
44	1	22	22	0	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	0	1	1
45	1	24	24	0	1	1	1	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	1	0
46	1	17	17	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	1
